iter	Accuracy	Logloss
549	1	0.04486173719
550	1	0.04481296022
551	1	0.04473096658
552	1	0.04452797353
553	1	0.04432606726
554	1	0.0442501703
555	1	0.04417076123
556	1	0.04404300613
557	1	0.04384059369
558	1	0.04382685222
559	1	0.043680315
560	1	0.04347305703
561	1	0.04338322899
562	1	0.04317288907
563	1	0.04302571726
564	1	0.04293813482
565	1	0.04285889499
566	1	0.04273046698
567	1	0.04263568285
568	1	0.04246424191
569	1	0.04237662714
570	1	0.04222257463
571	1	0.04194591146
572	1	0.04180356511
573	1	0.04166982515
574	1	0.04151810675
575	1	0.04134397998
576	1	0.04114090146
577	1	0.04092154786
578	1	0.04085225293
579	1	0.0407397368
580	1	0.04065390611
581	1	0.04060143754
582	1	0.04041191284
583	1	0.04028575546
584	1	0.0401744976
585	1	0.03996206317
586	1	0.0396579285
587	1	0.03958126183
588	1	0.03945907482
589	1	0.03938102896
590	1	0.03934007642
591	1	0.03913147493
592	1	0.03893336552
593	1	0.03887505625
594	1	0.03872246669
595	1	0.03858847004
596	1	0.0385287552
597	1	0.03842313296
598	1	0.03830753916
599	1	0.03827145336
600	1	0.03821144795
601	1	0.0380879794
602	1	0.03798476722
603	1	0.03778370109
604	1	0.03759200185
605	1	0.03741293388
606	1	0.03731299456
607	1	0.03722533152
608	1	0.03700912944
609	1	0.03684280135
610	1	0.0367378081
611	1	0.03662503794
612	1	0.03659339494
613	1	0.03648419123
614	1	0.03629943871
615	1	0.03618531045
616	1	0.03615026633
617	1	0.0360100367
618	1	0.03586967643
619	1	0.03576862262
620	1	0.03569062406
621	1	0.03565897409
622	1	0.03556243578
623	1	0.03544673902
624	1	0.03530627853
625	1	0.03523181648
626	1	0.03520156217
627	1	0.03514745556
628	1	0.03508155089
629	1	0.03498254236
630	1	0.03492441587
631	1	0.03484578971
632	1	0.03474827039
633	1	0.03472913546
634	1	0.0346000681
635	1	0.03449446682
636	1	0.03444637432
637	1	0.03435007558
638	1	0.03427332019
639	1	0.03423764888
640	1	0.03415847962
641	1	0.03409857983
642	1	0.03393922205
643	1	0.03384929437
644	1	0.03380548289
645	1	0.03371095959
646	1	0.03362680691
647	1	0.03349156845
648	1	0.03338886814
649	1	0.03337652376
650	1	0.03325204642
651	1	0.03308708195
652	1	0.03296454594
653	1	0.03290284905
654	1	0.03277083949
655	1	0.03272565516
656	1	0.03270885529
657	1	0.03264766258
658	1	0.03251132565
659	1	0.03245431699
660	1	0.03240416728
661	1	0.03231222851
662	1	0.03226428374
663	1	0.03211997777
664	1	0.03205683745
665	1	0.03198303249
666	1	0.03192346077
667	1	0.0318523499
668	1	0.03181895975
669	1	0.0317703232
670	1	0.03171904737
671	1	0.03167770215
672	1	0.03152450072
673	1	0.03141770634
674	1	0.0313852205
675	1	0.03126629113
676	1	0.03111721647
677	1	0.03103835181
678	1	0.03103807428
679	1	0.03097811642
680	1	0.03086648238
681	1	0.03079537902
682	1	0.03068146853
683	1	0.03056086625
684	1	0.03045190465
685	1	0.03036240082
686	1	0.03029099121
687	1	0.03017286135
688	1	0.03009926878
689	1	0.03007436735
690	1	0.03004839957
691	1	0.02999497405
692	1	0.02992824327
693	1	0.02984623227
694	1	0.02980214094
695	1	0.02973043467
696	1	0.02963315368
697	1	0.02957118028
698	1	0.02956389011
699	1	0.02956384886
700	1	0.02950760606
